doc_id,sentence_id,score,sentence,label_manual
161,166,0.3304,"Nada más, no se está esperando otra cosa.",0
161,2111,0.3114,"B - Y, que vas a hacer ahora, Carmen?.",1
28,66,0.3367,Es compañero de promoción y tiene amistad íntima con - el Gral. Armada..,0
38,34,0.3294,Para mañana está prevista una comida o cena entre miembros de CRISDE y varios periodistas..,0
161,637,0.3165,"B - Si claro tranquilisimo, siempre desconectao.",1
20,2,0.318,ASUNTO: VISTA ORAL 2/81 DEL CONSEJO SUPREMO DE JUSTICIA MILITAR..,0
161,3334,0.4963,"A - Es que no sabemos, porque hoy ha estado incomunicado entero, porque he ido a llevarle ropa y no me han dejado entrar, me han registrado todo.",1
159,676,0.3109,"TRAS LAS NOTICIAS DE QUE EL CAPITÁN GENERAL DE LA III REGIÓN MILITAR IBA A DAR POR FINALIZADA EL ESTADO DE EXCEPCIÓN, SE CREE LOS MIGUELOS DE LA CORPORACIÓN CONVOCARÁN UN PLENO EXTRAORDINARIO..",1
161,3103,0.3274,"Pero mira lo importante es que está con vida Bueno Carmen, aquí tienes a Juan..",0
161,4978,0.335,"Llamada del Sr. BARO, interesando nuevas noticias.",1
16,45,0.3208,"También aseguró haber oído al General Caruana, después de intentar detener al General Milans, decir por teléfono — al Gobernador Militar de Castellón: ""Tu no obedezcas más órdenes que las de tu Teniente General""..",0
15,25,0.4951,"En dicha reunión el General Torres Rojas llegó diciendo que —el Coronel Sanmartín tendría preparada la DAC para ponerla a/sus órdenes, aunque Tejero admitió que podría haberlo interpretado mal..",1
1,50,0.3309,Declaración indagatoria del Capitán PASCUAL..,0
104,14,0.3207,"Cartel en el hall de la Ciudad Sanitaria 19 de Octubre con texto ""UNIDAD CONTRA EL FASCISMO, MUERTE A LOS CULPABLES""..",0
4,24,0.3184,El General Armada colaboró y acató las órdenes de la Superioridad y que ordena al destacamento de Villaviciosa 14 que regrese al acuartelamiento..,0
160,39,0.2996,"21,30 (YA).-Son desalojados del Congreso los Civiles no diputados y funcionarios..",0
159,753,0.3092,Se pasó xerocopia al General José E.,0
50,369,0.2914,"Conclusiones provisionales del Sr. León (defensor anterior) con la relación de pruebas solicitadas y denegadas (careo General Armada con Teniente General Miláns del Bosch, Comandante Pardo, Coronel Ibáñez) y preguntas a Diputados..",0
29,15,0.3249,"De regreso éste al E.M.E., manifestó que la propuesta no era aceptada ni por él ni por la Zarzuela..",0
161,1579,0.3247,B - El número de teléfono de las Cortes.,0
157,96,0.3231,El nivel de organización del partido es muy elevado.,0
